term,category,hot_technology
Route,Network monitoring software,FALSE
Route mapping,Route navigation software,FALSE
Route planning,Map creation software,FALSE
Router,Switch or router software,FALSE
Routeware,Map creation software,FALSE
Routing,Route navigation software,FALSE
Roxio Retrospect,Backup or archival software,FALSE
Royal Alliance VISION2020 Core,Customer relationship management CRM software,FALSE
Ruby,Development environment software,TRUE
Ruby on Rails,Web platform development software,FALSE
RungePincockMinarco XERAS,Financial analysis software,FALSE
RungePincockMinarco XPAC,Analytical or scientific software,FALSE
Rust programming language,Development environment software,FALSE
RxKinetics UD Labels for Windows,Label making software,FALSE
Rytech Software Small Business Inventory Control,Inventory management software,FALSE
S&P Capital IQ,Information retrieval or search software,FALSE
S-Plus,Analytical or scientific software,FALSE
SACLANTCEN,Map creation software,FALSE
SAFARI Video Networks eZediaQTI,Web page creation and editing software,FALSE
SAIC government services and IT support,Industrial control software,FALSE
SAND,Data base management system software,FALSE
SAP APO,Analytical or scientific software,FALSE
SAP Adaptive Server Enterprise,Data base user interface and query software,FALSE
SAP Americas mySAP ERP Human Capital Management HCM,Time accounting software,FALSE
SAP Ariba,Procurement software,FALSE
SAP BEx Report Designer,Data base reporting software,FALSE
SAP Business Intelligence,Data base reporting software,FALSE
SAP Business Objects,Enterprise resource planning ERP software,FALSE
SAP Business One,Enterprise resource planning ERP software,FALSE
SAP BusinessObjects Crystal Reports,Data base reporting software,FALSE
SAP BusinessObjects Data Integrator,Enterprise application integration software,FALSE
SAP BusinessObjects Desktop Intelligence,Data base user interface and query software,FALSE
SAP Concur,Accounting software,TRUE
SAP Crystal Reports,Data base reporting software,FALSE
SAP Crystal Xcelsius,Presentation software,FALSE
SAP Customs Management,Project management software,FALSE
SAP DMS,Document management software,FALSE
SAP EHS Management,Compliance software,FALSE
SAP ERP,Enterprise resource planning ERP software,TRUE
SAP ERP Financials,Enterprise resource planning ERP software,FALSE
SAP ERP Human Capital Management,Enterprise resource planning ERP software,FALSE
SAP ERP Operations,Enterprise resource planning ERP software,FALSE
SAP IQ,Data base management system software,FALSE
SAP Maintenance,Enterprise resource planning ERP software,FALSE
SAP Master Data Management MDM,Metadata management software,FALSE
SAP NetWeaver,Enterprise application integration software,FALSE
SAP NetWeaver BW,Data mining software,FALSE
SAP POS Data Management,Point of sale POS software,FALSE
SAP PowerBuilder,Object or component oriented development software,FALSE
SAP PowerDesigner,Metadata management software,FALSE
SAP Replication Server,Data base management system software,FALSE
SAP SCM,Materials requirements planning logistics and supply chain software,FALSE
SAP Sybase SQL Anywhere,Customer relationship management CRM software,FALSE
SAP business and customer relations management,Enterprise resource planning ERP software,FALSE
SAS Data Integration Server,Metadata management software,FALSE
SAS Data Integration Studio,Enterprise application integration software,FALSE
SAS Enterprise Miner,Data mining software,FALSE
SAS JMP,Analytical or scientific software,FALSE
SAS/CONNECT,Enterprise application integration software,FALSE
SAS/Genetics,Analytical or scientific software,FALSE
SAS/STAT,Analytical or scientific software,FALSE
SBC Systems Benefits Workstation,Human resources software,FALSE
SBS International Maestro Suite,Calendar and scheduling software,FALSE
SBS Keystroke,Point of sale POS software,FALSE
SCALE ORIGEN-S point depletion and decay code,Analytical or scientific software,FALSE
SCC Soft Computer SoftA/R,Accounting software,FALSE
SCC Soft Computer SoftBank,Medical software,FALSE
SCC Soft Computer SoftDonor,Medical software,FALSE
SCC Soft Computer SoftLab,Medical software,FALSE
SCC Soft Computer SoftPath,Medical software,FALSE
SDA Survey,Analytical or scientific software,FALSE
SDS Software Solutions DayCare Information Systems PRO,Enterprise resource planning ERP software,FALSE
SEA.AI Offshore ONE,Mobile location based services software,FALSE
SEDCAD,Computer aided design CAD software,FALSE
SEMC-2D,Analytical or scientific software,FALSE
SGeMS,Analytical or scientific software,FALSE
SHIPNEXT,Materials requirements planning logistics and supply chain software,FALSE
SIDRA INTERSECTION,Analytical or scientific software,FALSE
SIL International The Linguist's Shoebox,Analytical or scientific software,FALSE
SIS SEMCI PARTNER,Enterprise resource planning ERP software,FALSE
SKILL FMEA,Object or component oriented development software,FALSE
SKM Systems Analysis Power,Analytical or scientific software,FALSE
SMART service management and route tracking,Data base user interface and query software,FALSE
SMEsource BillingOrchard,Billing and invoicing software,FALSE
SMS Valet,Point of sale POS software,FALSE
SMSi Twister Data Integrator,Enterprise application integration software,FALSE
SNOINO RCM Pro,Analytical or scientific software,FALSE
SNOINO Ttree,Analytical or scientific software,FALSE
SOAPware EMR,Medical software,FALSE
SOLAR-2,Analytical or scientific software,FALSE
SPAW,Analytical or scientific software,FALSE
SPLAT!,Analytical or scientific software,FALSE
SPMLab,Analytical or scientific software,FALSE
SPX/OTC Genisys ConnecTech PC,Analytical or scientific software,FALSE
SQLite,Data base management system software,FALSE
SRC Cash Flow Analyzer Pro,Financial analysis software,FALSE
SRC Cash Flow Forecasting,Accounting software,FALSE
SRSsoft SRS EHR,Medical software,FALSE
SS&C PTS,Financial analysis software,FALSE
SS&C Technologies Skyline Property Management,Data base user interface and query software,FALSE
SSA Global BPCS,Enterprise resource planning ERP software,FALSE
SSA Global Infinium Financial Management,Enterprise resource planning ERP software,FALSE
SSA Global Supply Chain Management,Materials requirements planning logistics and supply chain software,FALSE
SSA Global Warehouse Management System WMS,Materials requirements planning logistics and supply chain software,FALSE
SST Development Group SSToolbox,Analytical or scientific software,FALSE
SST Development Group Stratus,Data base user interface and query software,FALSE
STARLIMS,Medical software,FALSE
STAT! Systems QD Clinical,Medical software,FALSE
STATISTICA,Analytical or scientific software,FALSE
STI Computer Services ChartMaker,Medical software,FALSE
SUPREM,Analytical or scientific software,FALSE
SURFDriver Software WinSURF,Analytical or scientific software,FALSE
SUSTAIN Justice Edition,Data base user interface and query software,FALSE
SVArTracker,Music or sound editing software,FALSE
SVRPLOT,Analytical or scientific software,FALSE
SWIVEL,Materials requirements planning logistics and supply chain software,FALSE
SYSPRO business,Enterprise resource planning ERP software,FALSE
SYSTAT,Analytical or scientific software,FALSE
SaTScan,Analytical or scientific software,FALSE
SaaS SurveyMonkey,Project management software,FALSE
Saba Centra,Computer based training software,FALSE
Sabre Airline Solutions SabreSonic Customer Sales & Service,Customer relationship management CRM software,FALSE
Sabre Airline Solutions SabreSonic Ticket,Data base user interface and query software,FALSE
Sabre Central Command,Enterprise resource planning ERP software,FALSE
Sabre travel agent,Aviation ground support software,FALSE
Safari Software Products Safari,Human resources software,FALSE
Safe Software FME,Analytical or scientific software,FALSE
Safety Software OSHALOG 300,Data base user interface and query software,FALSE
Safety Status Measurement System SafeStat,Data base user interface and query software,FALSE
Safety instrumented system SIS,Industrial control software,FALSE
Safety integrity level SIL,Compliance software,FALSE
"Safety, health, and environmental management",Compliance software,FALSE
Saga Practice Manager,Data base user interface and query software,FALSE
Sage 100 Contractor,Data base user interface and query software,FALSE
Sage 100 ERP,Enterprise resource planning ERP software,FALSE
Sage 300 Construction and Real Estate,Data base user interface and query software,FALSE
Sage 50 Accounting,Accounting software,FALSE
Sage Accounting,Analytical or scientific software,FALSE
Sage Active Planner,Enterprise resource planning ERP software,FALSE
Sage BusinessWorks,Accounting software,FALSE
Sage CPAAccounts Payable,Accounting software,FALSE
Sage CPAAccounts Receivable,Accounting software,FALSE
Sage CPAClient Checkbook,Accounting software,FALSE
Sage CPADocument Manager,Document management software,FALSE
Sage Construction Anywhere,Project management software,FALSE
Sage EDP Payroll Tax,Compliance software,FALSE
Sage ERP Accpac,Enterprise resource planning ERP software,FALSE
Sage Fixed Asset Solution FAS,Accounting software,FALSE
Sage HRMS,Human resources software,FALSE
Sage HandiSoft HandiLedger,Compliance software,FALSE
Sage MAS 200 ERP,Enterprise resource planning ERP software,FALSE
Sage MAS 500,Financial analysis software,FALSE
